AOS 60,Common Name,Scientific Name,group,order,family,taxonomic notes,Canada,USA,Mexico,C America,Mig Status,Introduced,Nonbreeding only,PS-g,PS-g_s,PS-g_com,Global Pop Size,Global Pop Size#,Pop Size_US-Ca,Pop Size_US-Ca#,PopYr,Pop Size_US-Ca_s,Pop Size_US-Ca_com,%GL_WH-b,%WH_US-Ca-b,% Breeding Pop in US & Canada,% Breeding Pop in US & Canada#,%Pop_s,BD-g,BD area,BD-g_s,BD-g_com,ND-g,ND area,ND-g_s,ND-g_com,TB-c,TB-c_s,TB-c_com,TN-c,TN-c_s,TN-c_com,PT-c,PT-c_s,PT-c_com,trend (%/yr),trend source,lcl_90%CI,ucl_90%CI,lcl_67%CI,ucl_67%CI,RA,DF,pop change,pop change 90% lcl,pop change 90% ucl,Half-Life,CCS-b,CCS-n,CCS-max,CI,IUCN Red List 2018,Urban,Agriculture,Breeding Biome,Nonbreeding Biome,Primary Breeding Habitat,Secondary Breeding Habitat,Primary Nonbreeding Habitat,Secondary Nonbreeding Habitat
39,Cinnamon Teal,Spatula cyanoptera,waterfowl,Anseriformes,Anatidae,Formerly placed in the genus Anas.,1,1,1,1,PM,,,4,"WPE5, NAWMP 2012",very low estimates for S. America pops in WPE,"380,000",380000,"440,000",440000,2010.5,PIFcalc19,,100,,,,"bbs0514(BBS), eBrd17(WHem)",1,6904749,Natureserve,,1,6265279,Natureserve,,3,TrUST 2016,,3,TrUST 2016,"With this species (vs. BWTE), all of the uncertainty lies outside the US, and we haven't seen an increasing population size, so score 3/3 (TrUST 2016).",5,BBS7017,,-2.18,BBS7017,-3.03,-1.45,-2.62,-1.74,0.56,476,-62.90,-75.34,-42.77,,13,13,13,Watch List - Yel-D,LC,,,Western Temperate,Western Temperate,Wetlands:  Freshwater Marsh,,Wetlands:  Freshwater Marsh,Wetlands:  Lakes and Rivers
40,Northern Shoveler,Spatula clypeata,waterfowl,Anseriformes,Anatidae,Monotypic. Formerly placed in the genus Anas.,1,1,1,1,PM,,,2,WPE5; NAWMP 2018,"non-breeding surveys in WPE, 2/3 adjustment applied to all estimates except NAWMP 2018","5,900,000",5900000,"4,400,000",4400000,,NAWMP 2018,,30,,,,"bbs0514(BBS), eBrd17(WHem), PIF(Glob)",1,26371937,"Natureserve, with Old World extrapolation",,1,17197873,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,TrUST 2016,keep as is (TrUST 2016),2,TrUST 2016,keep as is (TrUST 2016),1,FWS7017,,2.28,FWS7017,2.16,2.40,,,,,188.31,172.58,201.16,,7,6,7,,LC,,,Nearctic,Nearctic,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh,Wetlands:  Generalist,
52,Northern Pintail,Anas acuta,waterfowl,Anseriformes,Anatidae,"Recognized as a monotypic by AOU (1957), Clements (2000), and Howard and Moore (2003). Subspecies <i>Anas acuta acuta, A. a. eatoni</i>, and <i>A. a. ...",1,1,1,1,M,,,3,NAWMP 2018; WPE5,"mostly non-breeding population estimates outside of North America, so 2/3 adjustment applied to those pops.","5,100,000",5100000,"3,200,000",3200000,,NAWMP 2018,,40,,,,"eBrd17(UsCa,WHem), PIF(Glob)",1,26113543,"Natureserve, with Old World extrapolation",,1,19443465,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,4,TrUST 2016,Potential increase in cropland and increased drying due to increasing temperature in southern Saskatchewan suggest 4 for breeding (TrUST 2016).,3,TrUST 2016,"Threats increasing for NOPI due to reliance on rice along Gulf Coast; rice production expected to decline, so boost 2 to 3 for non-breeding (TrUST 2016).",4,FWS7017,,-1.23,FWS7017,-1.35,-1.12,,,,,-44.11,-47.49,-40.79,,12,11,12,,LC,,w,Nearctic,Nearctic,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Tundra,Wetlands:  Generalist,
59,Greater Scaup,Aythya marila,waterfowl,Anseriformes,Anatidae,,1,1,1,1,M,,,3,WPE5; NAWMP 2018; NAWMP 2012,"Replaced WPE5 estimate for NA with NAWMP 2018 all scaup estimate for North America multiplied by the NAWMP 2012 ratio of GRSC:LESC.  Other WPE5 pop estimates based on non-breeding surveys, so 2/3 adjustment applied for breeding pop estimate.","1,200,000",1200000,"720,000",720000,,NAWMP 2018; NAWMP 2012,NAWMP 2018 all scaup estimate for North America multiplied by the NAWMP 2012 ratio of GRSC:LESC,30,,,,"eBrd17(UsCa,WHem), PIF(Glob)",1,10296457,"Natureserve, with Old World extrapolation",,1,6481437,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,TrUST 2016,"As with LESC, 3 for breeding is appropriate (TrUST 2016).",2,TrUST 2016,"NB should be 2, as it utilizes more open water and less marsh (TrUST 2016).",4,CBC7017,,-1.47,CBC7017,-2.90,0.29,-2.29,-0.52,5.32,1095,-44.82,-69.99,10.27,,11,10,11,,LC,,,Arctic,Nearctic,Wetlands:  Tundra,,Coasts:  Marine Waters,Wetlands:  Lakes and Rivers
60,Lesser Scaup,Aythya affinis,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,1,1,M,,,3,NAWMP 2018; NAWMP 2012,NAWMP 2018 all scaup estimate for North America multiplied by the NAWMP 2012 ratio of LESC:GRSC.,"3,700,000",3700000,"3,700,000",3700000,,NAWMP 2018; NAWMP 2012,NAWMP 2018 all scaup estimate for North America multiplied by the NAWMP 2012 ratio of LESC:GRSC.,100,98.60982513,100,100,NAWMP 2018; NAWMP 2012,1,5103713,Natureserve,,1,6033188,Natureserve,,3,TrUST 2016,Score of 3 in breeding could be impacted by climate change and food availability mismatch (TrUST 2016).,3,TrUST 2016,Non-breeding =3 for LESC due to spring migration foraging uncertainty (TrUST 2016).,4,BBS7017,Rosenberg 2020: FWS useless for species level trends since doesn't distinguish Greater Scaup,-1.21,BBS7017,-2.08,-0.45,-1.71,-0.76,3.53,507,-41.43,-56.57,-14.34,,11,11,11,,LC,,,Nearctic,Widespread,Wetlands:  Lakes and Rivers,Wetlands:  Freshwater Marsh,Coasts:  Marine Waters,Wetlands:  Lakes and Rivers
61,Steller's Eider,Polysticta stelleri,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,0,0,M,,,4,WPE5,"2/3 adjustment applied to W. Siberia/NE Europe winter estimate, not to N. Pacific spring estimate.","200,000",200000,660,660,,NAWMP 2018,,30,,,,"eBrd17(UsCa,WHem), PIF(Glob)",5,74300,"Natureserve, with Old World extrapolation",,3,751470,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,4,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,climate change and associated increasing shipping and resource development (FWS Mig Birds/ Sea Duck JV 2017),4,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,"they're tied to more near-shore and lagoon systems, and you could argue that they would be more susceptible to things like shoreline oiling and climate-change-induced changes to lagoon systems (e.g., erosion of barrier islands due to storm surges, lack of ice, sea level rise (FWS Mig Birds/ Sea Duck JV 2017)",5,Bowman et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,"Rosenberg 2019: BNA also indicates significant declines; CBC would score as PT = 4 due to detection in just 10 circles, would probably be PT5 if larger samples",-4.04,CBC7017*,-5.91,-2.25,-5.13,-2.96,172.48,10,-82.19,-92.83,-65.02,,18,16,18,Watch List - Red,VU,,,Arctic,Arctic,Wetlands:  Tundra,,Coasts:  Marine Waters,
62,Spectacled Eider,Somateria fischeri,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,0,0,M,,,4,WPE5,"Late winter survey, 2/3 adjustment applied","250,000",250000,"20,000",20000,,NAWMP 2018,,50,,,,"eBrd17(UsCa), PIF(Glob)",5,62480,"Natureserve, with Old World extrapolation",,5,18692,Natureserve,,4,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,climate change and associated increasing shipping and resource development (FWS Mig Birds/ Sea Duck JV 2017),4,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,"SPEI are definitely facing greater threats during non-breeding period than other eiders because the entire population concentrates in polynyas in the Bering Sea where the ice is critical for protection and energetically (they haul out on the ice to save energy).  Ice conditions have been shown to have an effect on population dynamics, and the projection is for decreased ice coverage due to climate change.   Either severe ice conditions or lack of ice could have profound effects on the SPEI population.  In addition, benthic communities have been changing from a bivalve-dominated benthic community to a fish-dominated community, again related to climate changes.  (FWS Mig Birds/ Sea Duck JV 2017)",5,Bowman et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,,,,,,,,,,,,,,18,18,18,Watch List - Red,NT,,,Arctic,Arctic,Wetlands:  Tundra,Coasts:  Tundra,Oceans:  Arctic Polynyas,
63,King Eider,Somateria spectabilis,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,0,0,M,,,3,WPE5; NAWMP 2018,"Combined NAWMP 2018 estimate with corrected WPE5 estimate (referred to original source showing 300,000-400,000) for E. Greenland, NE Europe, and W. Siberia.  Applied 2/3 rule to the latter population since they included winter estimates in their total.  WPE5 lacks an estimate for E. Asia, so this is a minimum estimate.",">830,000",830000,"600,000",600000,,NAWMP 2018,,50,,,,"eBrd17(UsCa,WHem), PIF(Glob)",2,3370636,"Natureserve, with Old World extrapolation",,2,2111558,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,4,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,climate change and associated increasing shipping and resource development (FWS Mig Birds/ Sea Duck JV 2017),3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,,5,CBC7017; BNA Powell & Suydam 2012,,-6.43,CBC7017,-9.06,-3.69,-8.01,-4.80,10.73,56,-90.31,-97.44,-61.91,,14,13,14,Watch List - Yel-D,LC,,,Arctic,Nearctic,Wetlands:  Tundra,Coasts:  Tundra,Coasts:  Marine Waters,
64,Common Eider,Somateria mollissima,waterfowl,Anseriformes,Anatidae,,1,1,0,0,M,,,3,NAWMP 2018; WPE5,2/3 adjustment applied to pop estimates in WPE 5 for outside N America and to NAWMP 2018 estimate for N America since all or most from non-breeding surveys,"2,300,000",2300000,"750,000",750000,,NAWMP 2018,"non-breeding survey, 2/3 adjustment applied to estimate breeding adults",65,100,40.74074,40.74074173,NAWMP 2018; WPE5,2,1999255,"Natureserve, with Old World extrapolation",,2,1002316,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,4,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,climate change and associated increasing shipping and resource development (FWS Mig Birds/ Sea Duck JV 2017),3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,,3,Bowman et al. 2015; FWS Mig Birds/ Sea Duck JV 2017; CBC7017,"Rosenberg 2019: BNA (2000) indicates declines in several populations and CBC trend highly imprecise, so PT3 seems right.",1.04,CBC7017,-4.69,6.67,-2.09,4.33,177.23,179,12.62,-77.64,479.38,,12,11,12,,NT,,,Arctic,Eastern Temperate,Coasts:  Cliffs and Islands,Coasts:  Marine Waters,Coasts:  Marine Waters,Coasts:  Rocky Intertidal
65,Harlequin Duck,Histrionicus histrionicus,waterfowl,Anseriformes,Anatidae,Monotypic. Howard and Moore (2003) list subspecies <i>H. h. histionicus</i> and <i>H. h. pacificus</i> but validity doubtful.,1,1,0,0,M,,,4,WPE5; NAWMP 2018,"combined NAWMP 2018 estimates with WPE estimates for Greenland, Iceland, and E. Asia.  Used 2/3 rule for all estimates since NAWMP based on index derived from winter surveys, as was Greenland.  Sources unavailable for Iceland and E. Asia so assumed includes all ages as per WPE5 guidelines.","230,000",230000,"170,000",170000,,NAWMP 2018,"non-breeding survey, 2/3 adjustment applied to estimate breeding adults.  Unclear if it includes birds that breed in Greenland.",50,,,,"eBrd17(UsCa,WHem), PIF(Glob)",1,6482534,"Natureserve, with Old World extrapolation",,2,1025318,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,,3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,,3,Bowman et al. 2015; FWS Mig Birds/ Sea Duck JV 2017; CBC7017,,-0.52,CBC7017,-1.83,0.82,-1.28,0.24,37.96,257,-21.74,-59.31,24.88,,11,12,12,,LC,,,Nearctic,Nearctic,Wetlands:  Lakes and Rivers,Coasts:  Beach and Estuary,Coasts:  Marine Waters,Coasts:  Rocky Intertidal
67,Surf Scoter,Melanitta perspicillata,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,1,0,M,,,4,NAWMP 2018,"non-breeding survey, 2/3 adjustment applied","470,000",470000,"470,000",470000,,NAWMP 2018,"non-breeding survey, 2/3 adjustment applied to estimate breeding adults",100,99.21206665,99.21207,99.21206665,"eBrd17(UsCa,WHem)",1,4694175,Natureserve,,2,811357,FWS Mig Birds/ Sea Duck JV 2017,"Their winter range is similar to WWSC, which would suggest 2 (FWS Mig Birds/ Sea Duck JV 2017).  This comment overruled BirdLife's ND polygon size of 816,432 km2, since in comparison with WWSC's polygon, SUSC's covered much less coastline but was less detailed and much wider, which seemed like an arbitrary difference in mapping conventions rather than a biological basis, so we relied on expert opinion instead of GIS.",3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,Not sure why the threats to scoters' breeding areas is less than many of the other species (including bufflehead and hooded merganser) (FWS Mig Birds/ Sea Duck JV 2017),3,PIFTC-02,,2,CBC7017,"Rosenberg 2017: Bpop waterfowl surveys useless for scoters because they can't identify to species; BNA (2015) indicates historic declines but no recent species-specific declines; so CBC is the best we have, and consistent with use of CBC for other scoters",0.19,CBC7017,-0.38,0.82,-0.14,0.54,31.22,477,8.90,-18.34,40.41,,10,11,11,,LC,,,Northern Forest,Nearctic,Wetlands:  Boreal,,Coasts:  Marine Waters,
69,White-winged Scoter,Melanitta deglandi,waterfowl,Anseriformes,Anatidae,Formerly considered conspecific with Melanitta fusca.,1,1,1,0,M,,,4,NAWMP 2018,"does not include Velvet Scoter, recognized as separate species by IUCN/Birdlife","400,000",400000,"400,000",400000,,NAWMP 2018,,40,100,100,100,NAWMP 2018,1,4842634,BirdLife,,2,1427087,BirdLife,,3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,Not sure why the threats to scoters' breeding areas is less than many of the other species (including bufflehead and hooded merganser) (FWS Mig Birds/ Sea Duck JV 2017),3,PIFTC-02,,3,CBC7017,Rosenberg 2017: Waterfowl surveys useless because they can't identify scoters; BNA (2019) indicates historic declines but no recent species-specific declines; so CBC is the best we have,-0.57,CBC7017,-2.70,1.85,-1.87,0.85,32.17,593,-24.59,-71.49,94.50,,11,12,12,,,,,Northern Forest,Nearctic,Wetlands:  Lakes and Rivers,,Coasts:  Marine Waters,
72,Black Scoter,Melanitta americana,waterfowl,Anseriformes,Anatidae,,1,1,1,0,M,,,3,WPE5; NAWMP 2018,combined NAWMP 2018 estimate with WPE5 spring count for E. Asia,"900,000",900000,"500,000",500000,,NAWMP 2018,,20,100,55.55556,55.55555725,WPE5; NAWMP 2018,1,9505445,"Natureserve, with Old World extrapolation",,2,2375129,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,Not sure why the threats to scoters' breeding areas is less than many of the other species (including bufflehead and hooded merganser) (FWS Mig Birds/ Sea Duck JV 2017),3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,,4,Bowman et al. 2015; FWS Mig Birds/ Sea Duck JV 2017; CBC7017,,-2.30,CBC7017,-4.80,0.06,-3.77,-0.90,63.25,494,-62.15,-84.19,-8.45,,11,12,12,,NT,,,Arctic,Nearctic,Wetlands:  Tundra,,Coasts:  Marine Waters,
73,Long-tailed Duck,Clangula hyemalis,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,1,0,M,,,3,NAWMP 2018; WPE5,,"3,200,000",3200000,"1,000,000",1000000,,NAWMP 2018,,40,100,31.25,31.25,NAWMP 2018; WPE5,1,12167220,"Natureserve, with Old World extrapolation",,1,3020616,FWS Mig Birds/ Sea Duck JV 2017,,3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,,3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,,5,Bowman et al. 2015; FWS Mig Birds/ Sea Duck JV 2017; CBC7017,"Rosenberg 2019: most sources agree with steep decline, except BNA account (2002) states that no significant overall trend can be detected, but this account is out of date",-4.76,CBC7017,-9.34,-2.21,-7.18,-3.08,84.40,659,-80.81,-94.54,-28.14,,12,12,12,CBSD,VU,,,Arctic,Nearctic,Wetlands:  Tundra,,Coasts:  Marine Waters,Wetlands:  Lakes and Rivers
74,Bufflehead,Bucephala albeola,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,1,0,M,,,3,NAWMP 2018,,"1,300,000",1300000,"1,300,000",1300000,,NAWMP 2018,,100,,,,eBrd17(UsCa),1,4718724,Natureserve,,1,7933493,Natureserve,,2,CWS reviewers 2018,Reduced score during calibration with TB-r.  Josh Vest and Greg Soulliere agreed.,3,PIFTC-02,,1,BBS7017,"Shaw 2020: CBC trend is 1.8185%, leading to same score",3.46,BBS7017,2.45,4.60,2.86,4.16,0.33,255,351.83,210.38,568.21,,7,8,8,,LC,,,Northern Forest,Nearctic,Wetlands:  Forested,Wetlands:  Lakes and Rivers,Coasts:  Marine Waters,Wetlands:  Lakes and Rivers
75,Common Goldeneye,Bucephala clangula,waterfowl,Anseriformes,Anatidae,,1,1,1,0,PM,,,3,NAWMP 2012; WPE5,,"2,500,000",2500000,"1,200,000",1200000,,NAWMP 2012,"Estimate is for ""Goldeneyes"" but similar to 2012 estimates of COGO",40,99.9172821,48,48,NAWMP 2012; WPE5,1,18174728,"Natureserve, with Old World extrapolation",,1,22700635,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,2,CWS reviewers 2018,Reduced score during calibration with TB-r.  Josh Vest and Greg Soulliere agreed.,3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,"threats include invasive species and changes in prey communities, contamination from increased shipping and/or coastal development, and again, the unpredictable effects of climate change on wetland and estuarine quality (FWS Mig Birds/ Sea Duck JV 2017).",2,BBS7017,,0.75,BBS7017,-0.01,1.50,0.27,1.21,0.26,362,41.65,7.60,98.12,,8,9,9,,LC,,,Northern Forest,Nearctic,Wetlands:  Forested,Wetlands:  Lakes and Rivers,Coasts:  Marine Waters,Wetlands:  Lakes and Rivers
76,Barrow's Goldeneye,Bucephala islandica,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,0,0,PM,,,4,NAWMP 2018,"non-breeding surveys, 2/3 adjustment applied","180,000",180000,"180,000",180000,,NAWMP 2018,"non-breeding survey, 2/3 adjustment applied to estimate breeding adults",98,100,98,98,"eBrd17(UsCa,WHem), PIF(Glob)",2,2301140,"Natureserve, with Old World extrapolation",,2,1840457,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,,3,Derksen et al. 2015; FWS Mig Birds/ Sea Duck JV 2017,why is non-breeding BAGO a 2 while other Pacific wintering species are 3? (FWS Mig Birds/ Sea Duck JV 2017),4,BBS7017,"Rosenberg 2019: BBS trend seems pretty well supported (99 routes, with declines in all regions)",-1.41,BBS7017,-2.82,-0.28,-2.25,-0.72,0.26,89,-44.57,-65.89,-12.46,,13,13,13,,LC,,,Northern Forest,Nearctic,Wetlands:  Forested,Wetlands:  Lakes and Rivers,Coasts:  Marine Waters,Wetlands:  Lakes and Rivers
78,Hooded Merganser,Lophodytes cucullatus,waterfowl,Anseriformes,Anatidae,"Monotypic.",1,1,1,1,PM,,,3,NAWMP 2012,,"1,100,000",1100000,"1,100,000",1100000,,NAWMP 2012,"NAWMP 2012 plan provides species-level estimate; NAWMP 2018 says 1,331,000 mergansers combined, but does not separate spp",100,99.99742126,99.99742,99.99742126,"eBrd17(UsCa,WHem)",1,5452014,Natureserve,,1,5574262,Natureserve,,3,PIFTC-02,,2,PIFTC-02,,1,BBS7017,Shaw 2020: CBC trend similar,4.67,BBS7017,3.90,5.43,4.23,5.15,0.03,438,696.53,439.47,1025.65,,8,7,8,,LC,,,Northern Forest,Nearctic,Wetlands:  Forested,Wetlands:  Lakes and Rivers,Wetlands:  Lakes and Rivers,
53,Green-winged Teal,Anas crecca,waterfowl,Anseriformes,Anatidae,,1,1,1,1,M,,,3,NAWMP 2018; WPE5,"updated WPE estimate with latest NAWMP estimate for North America; most other pop estimates appeared to be based on non-breeding surveys, so 2/3 adjustment applied for breeding pop estimate","6,700,000",6700000,"3,900,000",3900000,,NAWMP 2018,,30,,,,"eBrd17(UsCa,WHem), PIF(Glob)",1,36098237,"Natureserve, with Old World extrapolation",,1,24504560,"Natureserve, with ocular estimate of range in W Hemisphere based on PIFTC",,3,TrUST 2016,Breeding goes to 3 due to prairies and boreal development trajectories (TrUST 2016).,2,TrUST 2016,Non-breeding stays at 2  (TrUST 2016).,1,FWS7017,,1.68,FWS7017,1.54,1.84,,,,,119.06,100.37,133.80,,8,7,8,,LC,,w,Nearctic,Nearctic,Wetlands:  Generalist,,Wetlands:  Generalist,
54,Canvasback,Aythya valisineria,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,1,1,M,,,3,NAWMP 2018,,"690,000",690000,"690,000",690000,,NAWMP 2018,,100,99.51432037,99.51432,99.51432037,"eBrd17(UsCa,WHem)",2,3637441,Natureserve,,1,5757278,Natureserve,,3,TrUST 2016,"More Redheads means more parasitism for CANV, but 4 seems extreme; TB= 3 makes sense (TrUST 2016).",3,TrUST 2016,"Nonbreeding not as concentrated on Gulf Coast, but no reason to expect threats should be 4; keep TN at 3 (TrUST 2016).",2,FWS7017,,0.76,FWS7017,0.55,0.98,,,,,42.93,30.69,56.28,,10,9,10,,LC,,,Nearctic,Nearctic,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh,Wetlands:  Lakes and Rivers,Coasts:  Marine Waters
55,Redhead,Aythya americana,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,1,1,M,,,3,NAWMP 2018,,"1,200,000",1200000,"1,200,000",1200000,,NAWMP 2018,,100,97.70555878,100,100,NAWMP 2018,1,4994036,Natureserve,,1,4940081,Natureserve,,3,TrUST 2016,"Score 3 for breeding, although found in the less threatened permanent wetlands (TrUST 2016).",3,TrUST 2016,"Non-breeding could change due to energy development, but moderate threats (3) seem appropriate. Loss of non-breeding sea-grass habitat mitigated by movement into freshwater habitat to compensate (TrUST 2016).",1,FWS7017,,1.59,FWS7017,1.38,1.79,,,,,109.24,91.45,128.78,,8,8,8,,LC,,,Nearctic,Nearctic,Wetlands:  Seasonally Wet Grasslands,Wetlands:  Freshwater Marsh,Coasts:  Marine Waters,Wetlands:  Lakes and Rivers
57,Ring-necked Duck,Aythya collaris,waterfowl,Anseriformes,Anatidae,Monotypic.,1,1,1,1,M,,,3,NAWMP 2018,,"2,000,000",2000000,"2,000,000",2000000,,NAWMP 2018,,100,99.80575562,99.80576,99.80575562,"eBrd17(UsCa,WHem)",1,4773863,Natureserve,,1,6602187,Natureserve,,3,TrUST 2016,TB= 3 is consistent for breeding in southern boreal (TrUST 2016),2,TrUST 2016,"No expected threats NB, so 2 (TrUST 2016)",1,BBS7017,,3.29,BBS7017,2.00,4.31,2.57,3.91,0.29,501,319.70,178.27,563.81,,8,7,8,,LC,,,Northern Forest,Nearctic,Wetlands:  Boreal,,Wetlands:  Lakes and Rivers,
470,Snowy Plover,Charadrius nivosus,shorebird,Charadriiformes,Charadriidae,,0,1,1,1,PM,,,5,USSCP 2016,,"31,000",31000,"24,000",24000,2012,Thomas et al. 2012,"Shaw 2020: Extrapolated from N. American estimate of 25,869 that included 9% in Mexico",100,,,,"eBrd17(UsCa,WHem)",2,1092482,BirdLife and NatureServe (2012),,2,1080723,BirdLife and NatureServe (2012),,4,USSCP 2016,,4,USSCP 2016,,4,USSCP 2016; Mexican Regional Assessment 2005,"Panjabi 2019: PT-r = 4 in all key Mexican breeding areas (NWAB, NWCH, CEMH).  CBC probably covers less than half the population and could be confounded by climate change, so didn't use.  Demarest 2019: would seem to be one of those “must get” CBC species, so another reason not to use CBC.",0.38,CBC7017*,-0.47,1.23,-0.08,0.84,2.87,126,17.72,-19.01,77.35,,15,15,15,Watch List - Yel-D,NT,,,Widespread,Widespread,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers,Coasts:  Beach and Estuary,
467,Wilson's Plover,Charadrius wilsonia,shorebird,Charadriiformes,Charadriidae,,0,1,1,1,PM,,,5,USSCP 2016,,"22,000",22000,"8,600",8600,,USSCP 2016,,100,,,,"eBrd17(UsCa,WHem)",3,854106,BirdLife and NatureServe (2012),,3,833803,BirdLife and NatureServe (2012),,4,USSCP 2016,,4,USSCP 2016,,4,CBC7017,,-1.91,CBC7017,-4.06,1.16,-3.28,-0.20,0.80,76,-45.71,-80.07,57.51,,16,16,16,Watch List - Yel-R,LC,,,Widespread,Widespread,Coasts:  Beach and Estuary,,Coasts:  Beach and Estuary,
460,Common Ringed Plover,Charadrius hiaticula,shorebird,Charadriiformes,Charadriidae,,1,0,0,0,M,,,3,USSCP 2016,,"910,000",910000,"2,000",2000,,USSCP 2016,,5,4.406000137,0.2203,0.220300004,"eBrd17(UsCa,WHem), WI(Glob)",1,4694414,BirdLife and NatureServe (2012),,1,23892621,BirdLife and NatureServe (2012),,2,USSCP 2016,,3,USSCP 2016,,3,USSCP 2016,,,,,,,,,,,,,,9,10,10,,LC,,,Arctic,Paleotropical,Wetlands:  Tundra,,Coasts:  Beach and Estuary,
461,Semipalmated Plover,Charadrius semipalmatus,shorebird,Charadriiformes,Charadriidae,Monotypic.,1,1,1,1,M,,,4,USSCP 2016,,"200,000",200000,"200,000",200000,,USSCP 2016,,100,83.4000473,100,100,USSCP 2016,1,4918499,BirdLife and NatureServe (2012),,2,2794885,BirdLife and NatureServe (2012),,2,USSCP 2016,,3,USSCP 2016,,2,Mig7416,,-0.35,Mig7416,-1.95,0.78,,,,,-17.41,-46.43,26.21,,9,11,11,,LC,,,Arctic,Widespread,Coasts:  Beach and Estuary,Tundra:  Arctic,Coasts:  Beach and Estuary,
462,Piping Plover,Charadrius melodus,shorebird,Charadriiformes,Charadriidae,Monotypic.,1,1,1,1,M,,,5,USSCP 2016,,"8,400",8400,"8,400",8400,,USSCP 2016,,100,99.89572906,99.89573,99.89572906,"eBrd17(UsCa,WHem)",3,501304,BirdLife and NatureServe (2012),,4,222206,BirdLife and NatureServe (2012),,5,USSCP 2016,,4,USSCP 2016,,5,CBC7017,,-1.86,CBC7017,-2.90,-0.75,-2.47,-1.25,2.67,114,-58.70,,,,18,18,18,Watch List - Red,NT,,,Eastern Temperate,Eastern Temperate,Coasts:  Beach and Estuary,Wetlands:  Lakes and Rivers,Coasts:  Beach and Estuary,
459,Killdeer,Charadrius vociferus,shorebird,Charadriiformes,Charadriidae,,1,1,1,1,PM,,,3,"USSCP 2016, bbs0514(BBS), eBrd17(WHem)",extrapolated from US/Canada estimate from first source listed using %US/Canada estimated from the other source(s) listed,"2,300,000",2300000,"1,800,000",1800000,2012,"USSCP 2016; bbs0514(BBS), eBrd17(WHem)","Shaw 2020: extrapolated from USSCP 2016 world estimate of 2,005,500 using the proportion in US/Canada estimated from the other sources listed",100,,,,"bbs0514(BBS), eBrd17(WHem)",1,14430677,BirdLife and NatureServe (2012),,1,9132484,BirdLife and NatureServe (2012),,2,B. Andres 2017,,2,USSCP 2016,,4,BBS7017,,-0.97,BBS7017,-1.06,-0.87,-1.02,-0.91,5.32,4152,-36.56,-39.31,-33.53,,10,10,10,,LC,yes,"b,w",Nearctic,Widespread,Open Country:  Habitat Mosaic,Wetlands:  Generalist,Open Country:  Habitat Mosaic,Wetlands:  Generalist
