AOS 60,Common Name,Scientific Name,group,order,family,taxonomic notes,Canada,USA,Mexico,C America,Mig Status,Introduced,Nonbreeding only,PS-g,PS-g_s,PS-g_com,Global Pop Size,Global Pop Size#,Pop Size_US-Ca,Pop Size_US-Ca#,PopYr,Pop Size_US-Ca_s,Pop Size_US-Ca_com,%GL_WH-b,%WH_US-Ca-b,% Breeding Pop in US & Canada,% Breeding Pop in US & Canada#,%Pop_s,BD-g,BD area,BD-g_s,BD-g_com,ND-g,ND area,ND-g_s,ND-g_com,TB-c,TB-c_s,TB-c_com,TN-c,TN-c_s,TN-c_com,PT-c,PT-c_s,PT-c_com,trend (%/yr),trend source,lcl_90%CI,ucl_90%CI,lcl_67%CI,ucl_67%CI,RA,DF,pop change,pop change 90% lcl,pop change 90% ucl,Half-Life,CCS-b,CCS-n,CCS-max,CI,IUCN Red List 2018,Urban,Agriculture,Breeding Biome,Nonbreeding Biome,Primary Breeding Habitat,Secondary Breeding Habitat,Primary Nonbreeding Habitat,Secondary Nonbreeding Habitat
548,Thick-billed Murre,Uria lomvia,waterbird,Charadriiformes,Alcidae,,1,1,0,0,PM,,,2,BirdLife 2015,Adult estimate assumes 2/3 of total pop. are adults.,"15,000,000",15000000,"8,000,000",8000000,1998,BNA Gaston & Hipfner 2000,,,,,,,2,2250000,BirdLife 2015,,1,7552993,"Natureserve, with ocular estimate of range in W Hemishpere based on BirdLife map",,3,Hunter-Rosenberg 2003,,3,Hunter-Rosenberg 2003,,3,PIFSC-20,Easton 2020: I don't see how CBC would be an appropriate survey for this species. Colony counts over part of its Canadian range suggest little change in trend.  Dragoo et al. 2019 shows net stability in AK.  Merkel et al. 2014 show 13% decline in Greenland from mid/late 1980's - 2011.  Overall 3 for stability.,-3.55,CBC7017*,-8.40,-0.15,-6.20,-1.49,0.86,34,-59.70,-90.38,25.30,,10,9,10,,LC,,,Arctic,Temperate Northern Oceans,Coasts:  Cliffs and Islands,Coasts:  Marine Waters,Coasts:  Marine Waters,
393,Cinnamon Hummingbird,Amazilia rutila,landbird,Apodiformes,Trochilidae,,0,0,1,1,R,,,3,Gomez-Panjabi,,,,,,,,,,,,,,3,351129,Natureserve 3.0,,3,351129,Natureserve 3.0,,2,MX-NSAC,,2,MX-NSAC,tolerant of disturbance,2,PIF CAW 2014,,,,,,,,,,,,,,10,10,10,,LC,,,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests:  Tropical Dry,,Forests:  Tropical Dry,
394,Violet-crowned Hummingbird,Amazilia violiceps,landbird,Apodiformes,Trochilidae,,0,1,1,0,PM,,,3,PIFTC-02–PS-g midpoint,,"2,000,000",2000000,<200,200,,PIFSC-16,guestimate based on eBird distribution,100,3.803481102,0.01,0.01,PIFTC-02; PIFSC-16,3,557028,Natureserve 3.0,,3,416600,Natureserve 3.0,,2,PIFTC-02,CB-use of riparian; widespread in many habitats south of U.S.; tolerant of disturbance (MX-NSAC).  primarily uses native pine-oak and deciduous forests - should be same as other species in that habitat (KVR),2,PIFTC-02,tolerant of disturbance,2,MX-NSAC,,,,,,,,,,,,,,10,10,10,,LC,,,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests:  Tropical Dry,,Forests:  Tropical Dry,Aridlands:  Desert Riparian
395,Green-fronted Hummingbird,Amazilia viridifrons,landbird,Apodiformes,Trochilidae,,0,0,1,1,R,,,4,Gomez-Panjabi,,,,,,,,,,,,,,4,86005,Natureserve 3.0,,4,86005,Natureserve 3.0,,3,MX-NSAC,,3,MX-NSAC,moderate habitat loss,3,PIF CAW 2014,,,,,,,,,,,,,,14,14,14,Watch List - Yel-R,LC,,,Mesoamerican Pacific Lowlands,Mesoamerican Pacific Lowlands,Forests:  Tropical Dry,,Forests:  Tropical Dry,
397,Pirre Hummingbird,Goethalsia bella,landbird,Apodiformes,Trochilidae,Monotypic.,0,0,0,1,R,,,5,PIF CAW 2016,,,,,,,,,,,,,,5,1885,NatureServe,,5,1885,NatureServe,,3,PIF CAW 2014,puede ser afectado por cambio climático,3,PIF CAW 2014,,3,PIF CAW 2014,,,,,,,,,,,,,,16,16,16,Watch List - Yel-R,NT,,,Central and South American Highlands,Central and South American Highlands,Forests:  Tropical Montane Evergreen,,Forests:  Tropical Montane Evergreen,
398,Violet-capped Hummingbird,Goldmania violiceps,landbird,Apodiformes,Trochilidae,,0,0,0,1,R,,,5,PIF CAW 2016,,,,,,,,,,,,,,5,1287,NatureServe,,5,1287,NatureServe,,4,PIF CAW 2014,,4,PIF CAW 2014,,4,PIF CAW 2014,,,,,,,,,,,,,,18,18,18,Watch List - Red,NT,,,Gulf-Caribbean Lowlands,Gulf-Caribbean Lowlands,Forests:  Tropical Lowland Evergreen,,Forests:  Tropical Lowland Evergreen,
323,White-bellied Mountain-gem,Lampornis hemileucus,landbird,Apodiformes,Trochilidae,Monotypic.,0,0,0,1,R,,,5,PIF CAW 2016,,,,,,,,,,,,,,5,9398,NatureServe,,5,9398,NatureServe,,3,PIF CAW 2014,"en Panamá puede ser afectada por la ganadería, minería, y planta hidroeléctricas",3,PIF CAW 2014,,4,PIF CAW 2014,,,,,,,,,,,,,,17,17,17,Watch List - Red,LC,,,Central and South American Highlands,Central and South American Highlands,Forests:  Tropical Montane Evergreen,,Forests:  Tropical Montane Evergreen,
324,Purple-throated Mountain-gem,Lampornis calolaemus,landbird,Apodiformes,Trochilidae,,0,0,0,1,R,,,4,PIF CAW 2016,,,,,,,,,,,,,,5,11024,NatureServe,,5,11024,NatureServe,,3,PIF CAW 2014,cambio climático; en riesgo de extirpación en Nicaragua,3,PIF CAW 2014,,4,PIF CAW 2014,,,,,,,,,,,,,,16,16,16,Watch List - Yel-R,LC,,,Central and South American Highlands,Central and South American Highlands,Forests:  Tropical Montane Evergreen,,Forests:  Tropical Montane Evergreen,
325,White-throated Mountain-gem,Lampornis castaneoventris,landbird,Apodiformes,Trochilidae,,0,0,0,1,R,,,5,PIF CAW 2016,,,,,,,,,,,,,,5,7746,NatureServe,,5,7746,NatureServe,,3,PIF CAW 2014,,3,PIF CAW 2014,,4,PIF CAW 2014,,,,,,,,,,,,,,17,17,17,Watch List - Red,LC,,,Central and South American Highlands,Central and South American Highlands,Forests:  Tropical Montane Evergreen,,Forests:  Tropical Montane Evergreen,
326,Garnet-throated Hummingbird,Lamprolaima rhami,landbird,Apodiformes,Trochilidae,Monotypic.,0,0,1,1,R,,,5,Gomez-Panjabi,,,,,,,,,,,,,,4,138314,Natureserve 3.0,,4,138314,Natureserve 3.0,,4,MX-NSAC,global score should reflect regional experts' opinion.,4,MX-NSAC,requires forest,4,PIF CAW 2014,,,,,,,,,,,,,,17,17,17,Watch List - Red,LC,,,Mesoamerican Highlands,Mesoamerican Highlands,Forests:  Tropical Montane Evergreen,,Forests:  Tropical Montane Evergreen,
