CommonName,Species,NumDetects,SumAbun,SumMax,PS.g,BD.g,ND.g,TB.c,TN.c,PT.c,CCS.b,CCS.n,CCS.max,IUCN.Red.List.2018
Bat Falcon,Falco rufigularis,1,1,1,3,1,1,3,3,4,11,11,11,LC
Black-and-white Seedeater,Sporophila luctuosa,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black-necked Stilt,Himantopus mexicanus,1,5,2,3,1,1,3,3,1,8,8,8,
Blackish Rail,Pardirallus nigricans,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Broad-winged Hawk,Buteo platypterus,1,1,1,3,1,1,3,3,2,9,9,9,LC
Buff-breasted Sandpiper,Calidris subruficollis,1,2,2,4,3,2,3,4,2,12,12,12,NT
Chestnut-fronted Macaw,Ara severus,1,5,5,2,1,1,5,4,4,12,11,12,LC
Cinereous Becard,Pachyramphus rufus,1,1,1,3,2,2,3,3,3,11,11,11,LC
Common Ground Dove,Columbina passerina,1,1,1,2,1,1,3,3,3,9,9,9,LC
Crimson-backed Tanager,Ramphocelus dimidiatus,1,1,1,3,3,3,2,2,2,10,10,10,LC
Eastern Wood-Pewee,Contopus virens,1,1,1,2,1,1,3,3,4,10,10,10,LC
Golden-faced Tyrannulet,Zimmerius chrysops,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Great Antshrike,Taraba major,1,1,1,2,1,1,3,3,3,9,9,9,LC
Lesser Yellow-headed Vulture,Cathartes burrovianus,1,1,1,3,1,1,2,2,2,8,8,8,LC
Masked Duck,Nomonyx dominicus,1,5,3,4,1,1,3,3,3,11,11,11,LC
Muscovy Duck,Cairina moschata,1,1,1,3,1,1,4,4,5,13,13,13,LC
Osprey,Pandion haliaetus,1,1,1,3,1,1,2,2,1,7,7,7,LC
Summer Tanager,Piranga rubra,1,1,1,2,2,1,3,3,2,9,8,9,LC
Tropical Pewee,Contopus cinereus,1,2,1,2,1,1,2,2,2,7,7,7,LC
Turkey Vulture,Cathartes aura,1,1,1,2,1,1,1,1,1,5,5,5,LC
Western Emerald,Chlorostilbon melanorhynchus,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-tailed Hawk,Geranoaetus albicaudatus,1,1,1,3,1,1,3,3,3,10,10,10,LC
White-tipped Dove,Leptotila verreauxi,1,3,3,2,1,1,2,2,3,8,8,8,LC
Chestnut Munia,Lonchura atricapilla,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crimson-crested Woodpecker,Campephilus melanoleucos,0,0,0,2,1,1,4,4,4,11,11,11,LC
Little Blue Heron,Egretta caerulea,0,0,0,3,1,1,3,3,4,11,11,11,LC
