watershed,property,path,site_point,x,y,perc_forest_fence,perc_forest_no_fence,perc_old_restoration,perc_savanna,perc_live_fences,percent_young_restoration,perc_agroforestry,perc_shrubs,perc_pasture,perc_other_crops,perc_water
Guacaica,Boca del monte,Guacaica,1060-5,-75.50753967,5.144328233,0,30,0,10,0,0,0,0,60,0,0
Guacaica,Boca del monte,Guacaica,1060-6,-75.50983455,5.143934383,0,45,0,5,0,0,0,0,30,20,0
Guacaica,Boca del monte,Guacaica,1060-7,-75.51073167,5.145712383,20,0,0,10,0,0,0,0,70,0,0
Guacaica,Boca del monte,Guacaica,1060-8,-75.51083237,5.147519333,0,60,0,0,0,0,0,0,40,0,0
Guacaica,Boca del monte,Guacaica,1060-9,-75.51166592,5.149473633,0,20,0,20,0,0,0,0,60,0,0
Guacaica,Boca del monte,Guacaica,1060-10,-75.50921747,5.150605167,0,30,0,40,10,0,0,0,20,0,0
Guacaica,Boca del Monte ,Guacaica,1060-11,-75.50651677,5.14866385,40,15,0,10,0,0,0,0,35,0,0
Guacaica,el recreo,pueblo viejo,1087-10,-75.52989333,5.156215,0,30,0,0,0,0,0,0,70,0,0
Guacaica,el recreo ,pueblo viejo,1087-2,-75.52856167,5.155238334,0,15,0,10,0,0,0,0,75,0,0
Guacaica,el recreo,pueblo viejo,1087-11,-75.52470333,5.153691666,0,15,0,5,0,0,0,0,80,0,0
Guacaica,boca del monte,Guacaica,1060-12,-75.50746333,5.1462,30,40,0,5,0,0,0,0,25,0,0
Guacaica,la judea,quebrada negra ,1092-2,-75.48262,5.155003333,0,100,0,0,0,0,0,0,0,0,0
Guacaica,la judea,quebrada negra ,1092-3,-75.481885,5.156706666,0,92,0,0,0,0,0,0,0,0,8
Guacaica,la judea,quebrada negra ,1092-4,-75.48090333,5.155186667,0,60,0,0,0,0,0,0,40,0,0
Guacaica,la judea ,quebrada negra ,1092-5,-75.47975833,5.15369,0,20,0,5,0,0,0,0,70,5,0
Guacaica,la judea,quebrada negra ,1092-6,-75.47941667,5.155566666,0,90,0,0,0,0,0,0,0,0,10
Guacaica,la judea ,quebrada negra ,1092-7,-75.47971833,5.15725,0,0,0,5,0,0,95,0,0,0,0
Guacaica,la judea ,quebrada negra ,1092-8,-75.47969833,5.159018333,0,35,0,0,0,0,60,0,0,0,5
Guacaica,la judea ,quebrada negra ,1092-9,-75.48130667,5.158646666,0,50,0,0,0,0,50,0,0,0,0
