"Id","Name","Altitude","Timezone","Recordings_Count","Sampling","AGB_Spawn.tiff","BGB_Spawn.tiff","bio_1.tif","bio_10.tif","bio_11.tif","bio_12.tif","bio_13.tif","bio_14.tif","bio_15.tif","bio_16.tif","bio_17.tif","bio_18.tif","bio_19.tif","bio_2.tif","bio_3.tif","bio_4.tif","bio_5.tif","bio_6.tif","bio_7.tif","bio_8.tif","bio_9.tif","buildings_distance.tif","bulk_density_0.5m.tiff","bulk_density_15.30m.tiff","bulk_density_5.15m.tiff","canopy_height_jetz2.tiff","cation_0.5m.tiff","cation_15.30m.tiff","cation_5.15m.tiff","clay_content_0.5m.tiff","clay_content_15.30m.tiff","clay_content_5.15m.tiff","coast_final_v2.tiff","forest_integrity_index.tif","human_footprint.tif","nitrogen_0.5m.tiff","nitrogen_15.30m.tiff","nitrogen_5.15m.tiff","organic_carbon_density_0.5m.tiff","organic_carbon_density_15.30m.tiff","organic_carbon_density_30.60m.tiff","organic_carbon_density_5.15m.tiff","organic_carbon_stock_0.30m.tiff","ph_0.5m.tiff","ph_15.30m.tiff","ph_5.15m.tiff","rivers_final_v2.tiff","roads_final_v2.tiff","S2_NDVI_median_v2.tiff","sand_0.5m.tiff","sand_15.30m.tiff","sand_5.15m.tiff","silt_0.5m.tiff","silt_15.30m.tiff","silt_5.15m.tiff","soil_group.tiff","Longitude","Latitude","optional"
36626,"Parita_01_BayanoAvispa_03",17.38604736,"America/Panama",6887,1,13.8498106002808,5.48616695404053,27.3965587615967,28.333402633667,26.75,1973.21520996094,337.197906494141,6.34511852264404,73.9897384643555,862.73095703125,44.1156463623047,352.639495849609,862.73095703125,8.03616619110107,80.6967391967773,65.0736770629883,32.4587059020996,22.5,9.95870590209961,26.75,27.8194999694824,"NA","NA","NA","NA",18,"NA","NA","NA","NA","NA","NA",884.491638183594,3.81673526763916,8.79893016815186,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2384.53735351562,0.568747043609619,"NA","NA","NA","NA","NA","NA","NA",-80.3257083,7.9099939,"TRUE"
36625,"Parita_01_BayanoLasTablas_04",20.86029053,"America/Panama",6887,1,11.0771369934082,4.72666215896606,27.3968696594238,28.3356418609619,26.75,2007.888671875,343.437347412109,7.38990926742554,73.6625366210938,867.261474609375,46.5708923339844,376.274719238281,867.261474609375,8.03517150878906,80.6565170288086,65.1545257568359,32.4624366760254,22.5,9.96243667602539,26.75,27.8185043334961,"NA","NA","NA","NA",15.2499961853027,"NA","NA","NA","NA","NA","NA",780.8671875,3.96632528305054,8.8797779083252,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2487.88549804688,0.537710905075073,"NA","NA","NA","NA","NA","NA","NA",-80.3248142,7.910554,"TRUE"
36630,"Parita_01_ElAgallito_05",19.10784912,"America/Panama",6886,1,25.3555774688721,8.42927551269531,27.470832824707,28.3666667938232,26.8500003814697,2151.81884765625,354.419342041016,7.57071828842163,68.2855606079102,866.662414550781,69.1762466430664,460.469055175781,693.081787109375,8.30117893218994,82.1898956298828,61.2913246154785,32.5999984741211,22.5,10.0999984741211,26.8666667938232,27.8333320617676,"NA",0,0,0,22.7499942779541,0,0,0,0,0,0,148.743377685547,5.4446873664856,"NA",0,0,0,0,0,0,0,0,0,0,0,13927.0810546875,6677.8310546875,0.504978597164154,0,0,0,0,0,0,11,-80.3922651,8.0005355,"TRUE"
36645,"Parita_01_ElReten_07",28.02575684,"America/Panama",6658,1,20.8371601104736,7.28662252426147,27.4777355194092,28.3500003814697,26.8333339691162,2147.34375,352.45849609375,15.4623365402222,67.7181167602539,883.239929199219,77.5228042602539,469.827758789062,664.807312011719,8.19674205780029,81.9674224853516,60.6104431152344,32.5,22.5,10,27.0011959075928,27.8539161682129,"NA",53.1988143920898,55.2332534790039,53.8144340515137,17.8749980926514,193.167190551758,174.159805297852,172.365814208984,257.158874511719,283.130706787109,258.202514648438,126.212951660156,"NA",14.8006649017334,480.46240234375,213.91569519043,236.328536987305,296.568572998047,178.550964355469,120.720527648926,210.5732421875,48.4324836730957,44.7916450500488,45.4072647094727,44.7916450500488,9907.9150390625,6623.5400390625,0.48596379160881,226.77197265625,222.433670043945,231.778747558594,319.269683837891,297.636138916016,312.603607177734,11,-80.4275263,8.0184325,"TRUE"
36656,"Parita_01_EsteroCamaron_13",36.68127441,"America/Panama",6893,1,24.0110759735107,8.00682640075684,27.1649036407471,28.1254081726074,26.4921817779541,1972.40283203125,309.279327392578,5.63437271118164,72.6927947998047,842.731994628906,25.7309913635254,366.677703857422,648.367980957031,7.57130193710327,80.1114807128906,65.0295104980469,32.0510292053223,22.6000003814697,9.45102882385254,26.6146430969238,27.4750137329102,1605.53759765625,97.1381149291992,99.8058700561523,97.6614608764648,28.6249980926514,240.763763427734,238.934860229492,241.198638916016,382.342529296875,329.762817382812,377.629180908203,3828.80517578125,5.47316265106201,7.31797122955322,470.196899414062,258.941345214844,280.471862792969,314.180725097656,202.251800537109,133.488037109375,249.951797485352,53.0950088500977,55.5716667175293,56.5716667175293,55.5716667175293,84.1419677734375,2136.11206054688,0.52204030752182,275.565643310547,296.488433837891,276.797424316406,341.952301025391,373.893157958984,345.428985595703,11,-80.4042302,8.3333149,"TRUE"
36623,"Parita_01_HondaSalada_01",17.73065186,"America/Panama",8987,1,12.2514181137085,5.06313371658325,27.394100189209,28.3166675567627,26.7597351074219,1947.466796875,366.107879638672,2,76.9585800170898,846.860229492188,18.3365001678467,305.584136962891,843.533264160156,8.01179885864258,81.4094009399414,63.9752311706543,32.4000015258789,22.5584125518799,9.84158897399902,26.8013229370117,27.7999992370605,"NA","NA","NA","NA",8.50000858306885,"NA","NA","NA","NA","NA","NA",453.118286132812,3.00078821182251,8.47553634643555,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4390.3232421875,0.441514700651169,"NA","NA","NA","NA","NA","NA","NA",-80.32888267,7.934077562,"TRUE"
36657,"Parita_01_LasPalmitas_14",28.48730469,"America/Panama",6892,1,5.95561361312866,3.36656045913696,27.144567489624,28.0723133087158,26.4954032897949,1919.98693847656,299.860198974609,2.66124367713928,73.1160049438477,836.533447265625,20.9511547088623,326.809356689453,596.582214355469,7.45292234420776,80.7952880859375,62.6032485961914,31.9214973449707,22.6969604492188,9.22453784942627,26.7043972015381,27.4187297821045,576.676452636719,83.5580825805664,86.6563262939453,84.5580825805664,26.2500038146973,265.078033447266,256.787353515625,260.782897949219,351.246276855469,328.868347167969,344.722900390625,2201.40161132812,6.44738721847534,9.3839693069458,398.095947265625,241.63639831543,267.083282470703,330.272521972656,188.767547607422,131.277252197266,246.738327026367,50.5087585449219,55.6723289489746,56.5740814208984,56.3592300415039,266.080200195312,1297.0556640625,0.520685493946075,294.382873535156,304.009429931641,297.457489013672,354.304840087891,367.154449462891,357.164978027344,11,-80.3892371,8.3205177,"TRUE"
36659,"Parita_01_LosAzules_12",10.77664185,"America/Panama",6874,1,10.6887512207031,2.8548755645752,27.1660690307617,28.0543003082275,26.5419292449951,1988.45300292969,318.484161376953,2.05120706558228,70.2336196899414,839.513977050781,28.9823799133301,380.786804199219,613.484130859375,7.43306922912598,80.7942352294922,60.8019905090332,31.8999996185303,22.7000007629395,9.19999885559082,26.7238063812256,27.4500007629395,262.260528564453,37.2631607055664,37.2631607055664,37.2631607055664,30,118.425384521484,126.08219909668,127.10311126709,163.345367431641,182.232162475586,167.939453125,378.638732910156,7.45074844360352,15.2535486221313,207.7548828125,131.186737060547,144.458557128906,171.512634277344,91.3713150024414,63.8067817687988,121.998565673828,26.5436210632324,28.0749835968018,28.0749835968018,27.5645294189453,509.215179443359,8431.845703125,0.483853608369827,172.533538818359,161.30354309082,169.470809936523,174.575347900391,166.918548583984,172.533538818359,0,-80.3187751,8.3051519,"TRUE"
36689,"Parita_01_LosPalacios_06",12.54766846,"America/Panama",6504,1,11.0605020523071,4.27542400360107,27.166187286377,28.0708694458008,26.5599155426025,1985.97497558594,313.126403808594,0.741397380828857,72.9880599975586,867.955017089844,30.6715259552002,350.168853759766,628.266662597656,7.38512706756592,80.2297592163086,62.1405181884766,31.9088096618652,22.7037963867188,9.20501327514648,26.641414642334,27.4827003479004,1130.71923828125,78.4404067993164,80.2440795898438,79.2440795898438,29.4999942779541,208.671264648438,215.243713378906,212.819534301758,316.490478515625,372.262237548828,326.133758544922,1464.9521484375,7.07418775558472,7.8592791557312,375.908233642578,237.243179321289,247.646789550781,318.192779541016,211.813339233398,142.921035766602,264.299011230469,57.393497467041,55.4409370422363,56.423397064209,55.4409370422363,1336.04321289062,4749.55029296875,0.501248180866241,320.7255859375,286.774200439453,314.274536132812,363.565673828125,340.981109619141,359.591674804688,0,-80.2492896,8.313358,"TRUE"
36684,"Parita_01_LosPalacios_10",21.49438477,"America/Panama",6662,1,5.3233470916748,3.09881997108459,27.1691341400146,28.0765705108643,26.5623836517334,1979.31762695312,311.472869873047,1.91430878639221,72.7432250976562,865.26171875,33.7070770263672,358.682159423828,628.36376953125,7.38361883163452,80.1375274658203,62.3075065612793,31.921745300293,22.7079639434814,9.21378231048584,26.6349468231201,27.4834671020508,1036.02111816406,84.5203857421875,86.0381698608398,85.0381698608398,21.6249923706055,219.04020690918,227.080718994141,225.606567382812,336.283264160156,390.348022460938,342.989501953125,1561.734375,6.90177774429321,7.8033881187439,339.817321777344,232.527389526367,234.365280151367,316.810668945312,210.355712890625,142.2978515625,263.030059814453,56.4627227783203,56.6551513671875,57.564525604248,56.6551513671875,1376.4990234375,4644.033203125,0.52666574716568,300.930847167969,269.976226806641,299.891662597656,363.043212890625,339.766387939453,357.118835449219,0,-80.2488716,8.3142722,"TRUE"
