"Id","Name","Altitude","Recordings_Count","Sampling","AGB_Spawn","BGB_Spawn","canopy_height_jetz2","coast_final_v2","forest_integrity_index","human_footprint","organic_carbon_stock_0.30m","roads_final_v2","S2_NDVI_median_v2","Longitude","Latitude"
36626,"Parita_01_BayanoAvispa_03",17.38604736,6887,1,13.8498106002808,5.48616695404053,18,884.491638183594,3.81673526763916,8.79893016815186,20,2384.53735351562,0.568747043609619,-80.3257083,7.9099939
36625,"Parita_01_BayanoLasTablas_04",20.86029053,6887,1,11.0771369934082,4.72666215896606,15.2499961853027,780.8671875,3.96632528305054,8.8797779083252,25,2487.88549804688,0.537710905075073,-80.3248142,7.910554
36630,"Parita_01_ElAgallito_05",19.10784912,6886,1,25.3555774688721,8.42927551269531,22.7499942779541,148.743377685547,5.4446873664856,0,0,6677.8310546875,0.504978597164154,-80.3922651,8.0005355
36645,"Parita_01_ElReten_07",28.02575684,6658,1,20.8371601104736,7.28662252426147,17.8749980926514,126.212951660156,0,14.8006649017334,48.4324836730957,6623.5400390625,0.48596379160881,-80.4275263,8.0184325
36656,"Parita_01_EsteroCamaron_13",36.68127441,6893,1,24.0110759735107,8.00682640075684,28.6249980926514,3828.80517578125,5.47316265106201,7.31797122955322,53.0950088500977,2136.11206054688,0.52204030752182,-80.4042302,8.3333149
36623,"Parita_01_HondaSalada_01",17.73065186,8987,1,12.2514181137085,5.06313371658325,8.50000858306885,453.118286132812,3.00078821182251,8.47553634643555,45,4390.3232421875,0.441514700651169,-80.32888267,7.934077562
36657,"Parita_01_LasPalmitas_14",28.48730469,6892,1,5.95561361312866,3.36656045913696,26.2500038146973,2201.40161132812,6.44738721847534,9.3839693069458,50.5087585449219,1297.0556640625,0.520685493946075,-80.3892371,8.3205177
36659,"Parita_01_LosAzules_12",10.77664185,6874,1,10.6887512207031,2.8548755645752,30,378.638732910156,7.45074844360352,15.2535486221313,26.5436210632324,8431.845703125,0.483853608369827,-80.3187751,8.3051519
36689,"Parita_01_LosPalacios_06",12.54766846,6504,1,11.0605020523071,4.27542400360107,29.4999942779541,1464.9521484375,7.07418775558472,7.8592791557312,57.393497467041,4749.55029296875,0.501248180866241,-80.2492896,8.313358
36684,"Parita_01_LosPalacios_10",21.49438477,6662,1,5.3233470916748,3.09881997108459,21.6249923706055,1561.734375,6.90177774429321,7.8033881187439,56.4627227783203,4644.033203125,0.52666574716568,-80.2488716,8.3142722
36683,"Parita_01_LosPalacios_11",38.07330322,6671,1,10.5160245895386,4.16585397720337,28.4999942779541,1493.9638671875,7.03166246414185,7.84021615982056,57.0649147033691,4736.3955078125,0.523481667041779,-80.2492999,8.3135803
36658,"Parita_01_Mamoni_08",32.58270264,6887,1,10.3971767425537,2.75487542152405,18.9999961853027,190.484451293945,7.53060483932495,0,0,2203.2099609375,0.513004422187805,-80.3955673,8.2912562
36660,"Parita_01_Nanzal_09",30.92218018,6622,1,23.4180335998535,6.14349985122681,26.625,627.548889160156,5.7783374786377,16.8779697418213,55.1776351928711,7029.75634765625,0.519305944442749,-80.2752346,8.3037525
36622,"Parita_01_PenonHonda_02",28.79852295,6894,1,20.3138103485107,6.8588752746582,17,372.749786376953,3.77271819114685,8.58333396911621,15,4390.8271484375,0.538332521915436,-80.3277792,7.9335291
36644,"Parita_01_Sarigua_15",19.23455811,6687,1,18.4773406982422,5.96192836761475,29.6249980926514,173.463088989258,0,9.7525577545166,13.0972681045532,7777.8408203125,0.526228010654449,-80.4601005,8.042104
36642,"Parita_01_Sarigua_16",15.94104004,6722,1,19.2511920928955,5.88788032531738,20.1249980926514,84.1419677734375,0,9.82774066925049,0,7884.80078125,0.502829372882843,-80.45954037,8.042849455
